#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
## Generic strings;;;;;;;;;;;X
##;;;;;;;;;;;X
EVT_87531_NAME;HHS-Labor-Education Appropriations Bill;;;;;;;;;;X
EVT_87531_DESC;The Department of Health and Human Services Appropriations Act of 2008 has passed the House of Representatives and the U. S. Senate.  President Bush may veto the act because of the cost and because it would ban the use of childhood flu vaccines that contain thimerosal, a mercury-based preservative that has been alleged to cause autism.;;;;;;;;;;X
EVT_87532_NAME;Hurricane Katrina: 1 Year Later;;;;;;;;;;X
EVT_87532_DESC;In the year since Hurricane Katrina hit there has been some progress rebuilding New Orleans and the Gulf Coast region.  New Orleans remains devastated and only about half of its pre Katrina population still live in the city.  Some Americans criticize the Government for the slow pace of reconstruction.;;;;;;;;;;X
EVT_87533_NAME;Hurricane Katrina: 2 Year Later;;;;;;;;;;X
EVT_87533_DESC;In the 2 years since Hurricane Katrina hit there has been some progress rebuilding New Orleans and the Gulf Coast region.  New Orleans remains devastated and only about half of its pre Katrina population still live in the city.  Some Americans criticize the Government for the slow pace of reconstruction.;;;;;;;;;;X
EVT_87534_NAME;Hurricane Katrina: 3 Year Later;;;;;;;;;;X
EVT_87534_DESC;In the three years since Hurricane Katrina hit there has been some progress rebuilding New Orleans and the Gulf Coast region.  New Orleans remains devastated and only about half of its pre Katrina population still live in the city.  Some Americans criticize the Government for the slow pace of reconstruction.;;;;;;;;;;X
EVT_87535_NAME;Hurricane Katrina: 4 Year Later;;;;;;;;;;X
EVT_87535_DESC;In the four years since Hurricane Katrina hit there has been some progress rebuilding New Orleans and the Gulf Coast region.  New Orleans remains devastated and only about half of its pre Katrina population still live in the city.  Some Americans criticize the Government for the slow pace of reconstruction.;;;;;;;;;;X
EVT_87536_NAME;Hurricane Katrina: 5 Year Later;;;;;;;;;;X
EVT_87536_DESC;In the five years since Hurricane Katrina hit there has been some progress rebuilding New Orleans and the Gulf Coast region.  New Orleans remains devastated and only about half of its pre Katrina population still live in the city.  Some Americans criticize the Government for the slow pace of reconstruction.;;;;;;;;;;X
EVT_87540_NAME;The Collapse of Bear Stearns;;;;;;;;;;X
EVT_87540_DESC;Despite, or because of, the Federal Reserve's 28-day emergency loan, belief in The Bear Stearns Companies, Inc.'s ability to repay its obligations rapidly diminished among traders. On March 16,2008, Bear Stearns signed a merger agreement with JP Morgan Chase in a stock swap worth $2 a share (less than 10 percent of market value). In addition, the Federal Reserve agreed to issue a non-recourse loan of $29 billion to JP Morgan Chase, thereby assuming the risk of Bear Stearns's less liquid assets.;;;;;;;;;;X
EVT_87541_NAME;The US bear market of 2007–2009;;;;;;;;;;X
EVT_87541_DESC;The US bear market of 2007–2009 was declared in June 2008 when the Dow Jones Industrial Average had fallen down 20%% from its October 11, 2007 high. The decline of 20%% by mid-2008 was followed by other stock exchanges across the globe. On September 29,2008, the DJIA had a record-breaking drop of 777.68 with a close at 10,365.45.;;;;;;;;;;X
EVT_87542_NAME;Countrywide Financial Corporation is in Trouble;;;;;;;;;;X
EVT_87542_DESC;On November 26, 2007, Financial Corporation stock was hammered on the NYSE, dropping over 10%% to a level of $8.64/share, less than half the share's value in August when the firm faced bankruptcy rumors and a fraction of its value in 2006. One proximate cause were reports that the Atlanta Federal Home Loan Bank had extended a large amount of its credit to Countrywide to offset its inability to raise funds in the private market.;;;;;;;;;;X
EVT_87543_NAME;Bank of America buys Countrywide Financial;;;;;;;;;;X
EVT_87543_DESC;After analyzing Countrywide's legal and financial predicament, and modeling how its loan portfolio was likely to perform, Bank of America offered an all-stock deal valued at $4 billion for Countrywide. Shareholders approved the deal on June 25, 2008 and it closed July 2, 2008. Bank of America announced on June 26, 2008 that the takeover of Countrywide Financial Corp. will result in the loss of 7,500 jobs over the next two years.;;;;;;;;;;X
EVT_87544_NAME;The Emergency Economic Stabilization Act of 2008;;;;;;;;;;X
EVT_87544_DESC;The Emergency Economic Stabilization Act of 2008, commonly referred to as a bailout of the U.S. financial system, is a law enacted in response to the global financial crisis of 2008 authorizing the United States Secretary of the Treasury to spend up to US$700 billion to purchase distressed assets, especially mortgage-backed securities, and make capital injections into banks.;;;;;;;;;;X
EVT_87545_NAME;The bankruptcy of Lehman Brothers;;;;;;;;;;X
EVT_87545_DESC;In 2008, Lehman Brothers Holdings Inc. faced an unprecedented loss due to the continuing subprime mortgage crisis. In the first half of the year alone, Lehman stock lost 73%% of its value as the credit market continued to tighten. Talks with Bank of America and Barclays for the company's possible sale were unsuccessful. Lehman Brothers filed for Chapter 11 bankruptcy protection on September 15, 2008. This was the largest bankruptcy filing in U.S. history with Lehman holding over $600 billion in assets.;;;;;;;;;;X
EVT_87546_NAME;The Fate of Fannie and Freddie;;;;;;;;;;X
EVT_87546_DESC;On September 7,2008, the director of the Federal Housing Finance Agency (FHFA) announced his decision to place two Government sponsored enterprises Fannie Mae (Federal National Mortgage Association) and Freddie Mac (Federal Home Loan Mortgage Corporation), into conservatorship run by the FHFA. The move was spurred on by fears that the combined losses of US$14.9 billion and market concerns about their ability to raise capital threatened to disrupt the US housing financial market.;;;;;;;;;;X
EVT_87547_NAME;The 'Nationalization' of American International Group, Inc. (AIG);;;;;;;;;;X
EVT_87547_DESC;As Lehman Brothers suffered a catastrophic decline in share price, investors began comparing the types of securities held by AIG and Lehman, and found that AIG had valued its sub-prime mortgage-backed securities at twice the values used by Lehman which weakened investors' confidence. The Federal Reserve created an $85 billion credit facility to enable the AIG to meet increased collateral obligations consequent to the credit rating downgrade, in exchange for 79.9%% of the equity of AIG.;;;;;;;;;;X
EVT_87548_NAME;An additional bailout of American International Group, Inc. (AIG);;;;;;;;;;X
EVT_87548_DESC;From mid September till early November, AIG's credit-default spreads were steadily rising, implying the company was heading for default. On November 10,2008, the U.S. Treasury announced it would purchase $40 billion in newly issued AIG senior preferred stock, under the authority of the Emergency Economic Stabilization Act's Troubled Asset Relief Program.;;;;;;;;;;X
EVT_87549_NAME;AIG- What are we paying for exactly?;;;;;;;;;;X
EVT_87549_DESC;AIG has received a lot of bad press recently. Following the first bailout, AIG executives participated in a lavish California retreat which cost $444,000. On October 17 that AIG executives spent $86,000 on a previously scheduled English hunting trip. AIG spent another $343,000 on a trip to a lavish resort in Arizona. They've already drawn upon $90 billion of the $123 billion allocated for loans.;;;;;;;;;;X
EVT_87550_NAME;AIG in more trouble;;;;;;;;;;X
EVT_87550_DESC;On March 2,2009, AIG reported a fourth quarter loss of $61.7bn (the largest in history). The news came the day after the U.S. Treasury Department had confirmed that AIG was to get another $30 billion in aid.;;;;;;;;;;X
EVT_87551_NAME;The Fate of AIG;;;;;;;;;;X
EVT_87551_DESC;The Treasury Department suggested that the potential losses to the US and global economy would be 'extremely high' if AIG were to collapse and has suggested that if in future there is no improvement, it will invest more money into the company, as it is unwilling to allow it to fail.;;;;;;;;;;X
EVT_87552_NAME;Bank of America acquires Merrill Lynch & Co., Inc.;;;;;;;;;;X
EVT_87552_DESC;Merrill Lynch & Co., Inc. was acquired by Bank of America under distressed circumstances during the 2008 Financial Crisis. On September 14, 2008 Bank of America announced its intention to acquire Merrill Lynch for Bank of America common stock. Shareholders of both companies approved the acquisition on December 5, 2008 which took effect January 1, 2009.;;;;;;;;;;X
EVT_87553_NAME;The Madoff Investment Scandal;;;;;;;;;;X
EVT_87553_DESC;The Madoff investment scandal occurred after the discovery that former NASDAQ chairman Bernard Madoff's asset management business was actually a giant Ponzi scheme. Alerted by his sons, federal authorities arrested Madoff on December 11, 2008. On March 12,2009, Madoff pled guilty to 11 felonies and admitted to operating the largest investor fraud ever committed by an individual.;;;;;;;;;;X
EVT_87554_NAME;The American Recovery and Reinvestment Act of 2009;;;;;;;;;;X
EVT_87554_DESC;The American Recovery and Reinvestment Act of 2009 is an economic stimulus package enacted by the 111th United States Congress and signed into law on February 17, 2009. The Act of Congress is intended to provide a stimulus to the U.S. economy in the wake of the economic downturn. The measures are nominally worth $787 billion. The Act includes federal tax relief, expansion of unemployment benefits and other social welfare provisions, and domestic spending in education, health care, and infrastructure.;;;;;;;;;;X
EVT_87555_NAME;The Economic Stimulus Act of 2008;;;;;;;;;;X
EVT_87555_DESC;The Economic Stimulus Act of 2008 was an Act of Congress providing for several kinds of economic stimuli intended to boost the United States economy in 2008 and to avert a recession, or ameliorate economic conditions. The law provides for tax rebates to low- and middle-income U.S. taxpayers, tax incentives to stimulate business investment, and an increase in the limits imposed on mortgages eligible for purchase by government-sponsored enterprises. The total cost of this bill was projected at $152 billion.;;;;;;;;;;X
EVT_87556_NAME;The Automotive Industry Crisis;;;;;;;;;;X
EVT_87556_DESC;During November 2008, Ford, together with Chrysler and General Motors, sought financial aid at Congressional hearings in Washington D.C. in the face of worsening conditions caused by the automotive industry crisis. The three companies presented action plans for the sustainability of the industry but were unsuccessful at obtaining assistance through Congressional legislation. GM and Chrysler later received assistance through the Executive Branch from the T.A.R.P. funding provisions.;;;;;;;;;;X
EVT_87557_NAME;The Automotive Industry Crisis;;;;;;;;;;X
EVT_87557_DESC;In January 2009, Ford announced a $14.6 billion loss in the preceding year, making 2008 its worst year in history. Still, the company claimed to have sufficient liquidity to fund its business plans and thus, did not ask for government aid.;;;;;;;;;;X
EVT_87558_NAME;The Automotive Industry Crisis;;;;;;;;;;X
EVT_87558_DESC;In January 2009, Ford announced a $14.6 billion loss in the preceding year, making 2008 its worst year in history. Still, the company claimed to have sufficient liquidity to fund its business plans and thus, did not ask for government aid. Their situation has only gotten more perilous since then.;;;;;;;;;;X
EVT_87571_NAME;District of Columbia v. Heller;;;;;;;;;;X
EVT_87571_DESC;District of Columbia v. Heller, is a landmark legal case in which the Supreme Court of the United States held that the Second Amendment to the United States Constitution protects an individual's right to possess a firearm for private use. It was the first Supreme Court case in United States history to directly address whether the right to keep and bear arms is a right of individuals or a collective right that applies only to state-regulated militias.;;;;;;;;;;X
EVT_87572_NAME;The court endorses strict Gun Control policies;;;;;;;;;;X
EVT_87572_DESC;District of Columbia v. Heller, is a landmark legal case in which the Supreme Court of the United States held that the Second Amendment to the United States Constitution doesn't protects an individual's right to possess a firearm for private use.;;;;;;;;;;X
EVT_87573_NAME;Firearms manufacturers outraged by ruling;;;;;;;;;;X
EVT_87573_DESC;'The act of a governmental entity banning commercial sales of firearms not only violates the basic principles of the United States Constitution, but also puts national security at risk by ending the delicate balance between the government and the private sector, stated Ronnie Barrett as he pledged to immediately end all contracts with the US Government. Other manufacturers are expected to quickly follow suit.;;;;;;;;;;X
EVT_87801_NAME;Paul Administration priorities;;;;;;;;;;X
EVT_87801_DESC;The eyes of the world are on the President-elect. 'I hope that he really focuses on ending the anarchy along our southern border, one elated supporter posted on his blog. Other supporters in the blogosphere hope that their man will focus on restoring their 'stolen constitutional rights.' Still others hope that he will do something to save the economy. What will be the first priority of the new administration?;;;;;;;;;;X
EVT_87802_NAME;McCain administration priorities;;;;;;;;;;X
EVT_87802_DESC;The eyes of the world are on the President-elect. 'I hope that he really focuses on defeating the terrorists, one elated supporter posted on his blog. Other supporters in the blogosphere hope that their man will focus on promoting democracy around the world. Still others hope that he will do something about illegal immigration. What will be the first priority of the new administration?;;;;;;;;;;X
EVT_87803_NAME;Huckabee administration priorities;;;;;;;;;;X
EVT_87803_DESC;The eyes of the world are on President-elect Mike Huckabee. 'I hope that he does away with the Internal Revenue Service, one elated Huckabee supporter posted on his blog. Other supporters in the blogosphere hope that Huckabee will focus on promoting traditional values. Still others hope that Huckabee will do something about illegal immigration. What will be the first priority of the new administration?;;;;;;;;;;X
EVT_87804_NAME;Giuliani administration priorities;;;;;;;;;;X
EVT_87804_DESC;The eyes of the world are on President-elect Rudy Giuliani. 'I hope that he cleans up the country like he cleaned up New York, one elated Giuliani supporter posted on his blog. Other supporters in the blogosphere hope that Giuliani will focus on the War on Terror. Still others hope that 'America's mayor' should do something about illegal immigration. What will be the first priority of the new administration?;;;;;;;;;;X
EVT_87805_NAME;Republican administration priorities;;;;;;;;;;X
EVT_87805_DESC;The eyes of the world are on the President-elect. 'I hope that he really focuses on defeating the terrorists, one elated supporter posted on his blog. Other supporters in the blogosphere hope that their man will focus on promoting traditional values. Still others hope that he will do something about illegal immigration. What will be the first priority of the new administration?;;;;;;;;;;X
EVT_87806_NAME;Abolishing the IRS;;;;;;;;;;X
EVT_87806_DESC;The new administration wants to abolish the Internal Revenue Service. The President insists that his election shows that there is a popular mandate to abolish the IRS.  'Less taxes mean more investment and more investment means a stronger American economy, insisted the new President. Congress is somewhat skeptical about this proposal. 'How will we ever fund the great projects that we have planned for America, fumed the Senate majority leader.;;;;;;;;;;X
EVT_87807_NAME;A new policy on immigration?;;;;;;;;;;X
EVT_87807_DESC;The President-elect has called for a re-evaluation of our immigration and border policies. 'America has a porous border and an ambiguous immigration policy that does not serve the national interest, the President-elect said. 'It is time for a new policy on this issue.' ;;;;;;;;;;X
EVT_87808_NAME;A moratorium on immigration;;;;;;;;;;X
EVT_87808_DESC;The President-elect has called for a moratorium on Immigration. 'America has a porous border and an ambiguous immigration policy that does not serve the national interest. Under the circumstances, it would be judicious, then, for the U.S. government to declare a moratorium on all immigration for several years so that policies that reflect our culture and national security can be appraised and decided upon.';;;;;;;;;;X
EVT_87809_NAME;A new policy on immigration?;;;;;;;;;;X
EVT_87809_DESC;The President-elect has called for a re-evaluation of our immigration and border policies. 'America has a porous border and an ambiguous immigration policy that does not serve the national interest, the President-elect said. 'It is time for a new policy on this issue.' ;;;;;;;;;;X
EVT_87810_NAME;The first Mormon President;;;;;;;;;;X
EVT_87810_DESC;Romney's election has brought attention and credibility to the Church of Jesus Christ of Latter-day Saints, giving Mormons a chance to demystify their theology and customs. But church officials also calculate that Romney's election could remind some mainstream Christians just how different Mormonism is from their faith and perhaps expose their flock to more of the sort of discrimination that drove their founders west by handcart and covered wagon into the Great Salt Lake Valley.;;;;;;;;;;X
EVT_87811_NAME;Is the President-elect a little too religious?;;;;;;;;;;X
EVT_87811_DESC;Recent religiously charged statements by the President-elect have alarmed and appalled many Americans. 'The President-elect is going to force those of us who have wanted more religion in the town square to reexamine the merits of strict separation of church and state. He is the best advertisement ever for the ACLU, lamented one Republican pundit.;;;;;;;;;;X
EVT_87812_NAME;Third Party President;;;;;;;;;;X
EVT_87812_DESC;In an astonishing turn of events a third party candidate has been elected to the Presidency.  Pundits are stunned by the victory but the President-elect has an explanation.  'Voters are alienated from the Democratic and Republican parties, which are dominated by ideologues who offer simplistic solutions. At the same time, voters are craving real solutions to the real problems we face.';;;;;;;;;;X
EVT_87813_NAME;Hillary Clinton: First woman President;;;;;;;;;;X
EVT_87813_DESC;Hillary Clinton has become the USA's first woman president, taking 52.5%% of the poll with almost all the votes counted. Giving a victory speech to cheering supporters, the President elect said: 'Who would have said,10, 15 years ago, that a woman would be elected president?'  The Outgoing President  hailed the election of the USA's first woman leader as a 'historic triumph.';;;;;;;;;;X
EVT_87814_NAME;Nancy Pelosi: First woman President;;;;;;;;;;X
EVT_87814_DESC;Nancy Pelosi has become the USA's first woman president. Giving a speech to cheering supporters, the President said: 'Who would have said,10, 15 years ago, that a woman would become  president?' The Senate Majority leader  hailed the inaguration of the USA's first woman leader as a 'historic triumph.';;;;;;;;;;X
EVT_87815_NAME;Cynthia McKinney: First woman President;;;;;;;;;;X
EVT_87815_DESC;Cynthia McKinney has become the USA's first Black woman president, taking 52.5%% of the poll with almost all the votes counted. Giving a victory speech to cheering supporters, the President elect said: 'Who would have said,10, 15 years ago, that a Black woman would be elected president?'  The outgoing President hailed the election of the USA's first Black woman leader as a 'historic triumph.';;;;;;;;;;X
EVT_87816_NAME;Impeachment of President Bush?;;;;;;;;;;X
EVT_87816_DESC;With the Democrats now in charge of Congress many are advocating the impeachment of United States President George W. Bush. The reasons they offer for Bush's impeachment include concerns about the legitimacy, legality, and constitutionality of his actions. The Democratic Party leadership has indicated that they have no intention of resolving to impeach the President.;;;;;;;;;;X
EVT_87817_NAME;Al Sharpton: First Black President;;;;;;;;;;X
EVT_87817_DESC;Candidate Al Sharpton has become the USA's first Black president, taking 52.5%% of the poll with almost all the votes counted. Giving a victory speech to cheering supporters, the President elect said: 'Who would have said,10, 15 years ago, that a black man would be elected president?'  The Outgoing President  hailed the election of the USA's first black leader as a 'historic triumph.';;;;;;;;;;X
EVT_87818_NAME;Barack Obama: First Black President;;;;;;;;;;X
EVT_87818_DESC;Candidate Barack Obama has become the USA's first Black president, taking 52.5%% of the poll with almost all the votes counted. Giving a victory speech to cheering supporters, the President elect said: 'Who would have said,10, 15 years ago, that a black man would be elected president?'  The Outgoing President  hailed the election of the USA's first black leader as a 'historic triumph.';;;;;;;;;;X
EVT_87819_NAME;Bill Richardson: First Hispanic President;;;;;;;;;;X
EVT_87819_DESC;Candidate Bill Richardson has become the USA's first Mexican-American president, taking 52.5%% of the poll with almost all the votes counted. Giving a victory speech to cheering supporters, the President elect said: 'Who would have said,10, 15 years ago, that a man of hispanic ancestry would be elected president?'  The Outgoing President  hailed the election of the USA's first Hispanic leader as a 'historic triumph.';;;;;;;;;;X
EVT_87820_NAME;The first minority President;;;;;;;;;;X
EVT_87820_DESC;For the first time in its history, the USA's President will not be a White Male.  In a world where people of color vastly outnumber those of European descent, the “right” minority could make a world of difference in how America is perceived in the world.;;;;;;;;;;X
EVT_87821_NAME;Military President;;;;;;;;;;X
EVT_87821_DESC;The military is elated to see one of its own in the White House. Talk of a deterioration in civil-military relations, so common is recent years, will surely evaporate now that a former general is in the oval office. The soldiers will be glad to know that their commander in chief has military experience and the generals feel that their concerns will be addressed by the new administration.;;;;;;;;;;X
EVT_87822_NAME;Condi Rice: First Woman President;;;;;;;;;;X
EVT_87822_DESC;Condoleezza Rice has become the USA's first Black woman president, taking 52.5%% of the poll with almost all the votes counted. Giving a victory speech to cheering supporters, the President elect said: 'Who would have said,10, 15 years ago, that a Black woman would be elected president?'  The Outgoing President  hailed the election of the USA's first Black woman leader as a 'historic triumph.';;;;;;;;;;X
EVT_87823_NAME;A New Policy towards Israel?;;;;;;;;;;X
EVT_87823_DESC;The pro Israel lobbyists in the United States fear that the new President is insufficiently supportive of the government of Israel. The President has made comments which imply that Israel's security will not be a major priority of the new administration. The President should clarify what the new administration's policies towards Israel are.;;;;;;;;;;X
EVT_87824_NAME;A New Policy towards Israel?;;;;;;;;;;X
EVT_87824_DESC;The pro Israel lobbyists in the United States fear that the new President is insufficiently supportive of the government of Israel. The President has made comments which imply that Israel's security will not be a major priority of the new administration. The President should clarify what the new administration's policies towards Israel are.;;;;;;;;;;X
EVT_87825_NAME;The Security and Prosperity Partnership of North America;;;;;;;;;;X
EVT_87825_DESC;Lobbyists in the United States fear that the new President is insufficiently supportive of the Security and Prosperity Partnership of North America.  The President has made comments which imply that economic collaboration with Mexico and Canada will not be a major priority of the new administration. The President should clarify what the new administration's policies towards the SPPNA are.;;;;;;;;;;X
EVT_87826_NAME;A 'non-interventionist' foreign policy?;;;;;;;;;;X
EVT_87826_DESC;The President-elect has called for a re-evaluation of our foreign policies. 'I believe our founding fathers had it right when they argued for peace and commerce between nations, and against entangling political and military alliances, the President-elect argued. ' We are less secure when we interfere militarily, financially, or covertly in the internal affairs of other nations.';;;;;;;;;;X
EVT_87827_NAME;A just foreign policy?;;;;;;;;;;X
EVT_87827_DESC;The President-elect has called for a re-evaluation of our foreign policies. 'I believe that we can achieve a just foreign policy based on cooperation, law, and diplomacy, the President-elect argued. ' We have no right to interfere militarily, financially, or covertly in the internal affairs of other nations.';;;;;;;;;;X
EVT_42001_NAME;Amman bombings;;;;;;;;;;X
EVT_42001_DESC;Amman bombings were a series of coordinated bomb attacks on three hotels in Amman, Jordan, on November 9, 2005. Al-Qaeda in Iraq claimed responsibility for the attacks, which killed 60 people and injured 115 others. The explosions at the Grand Hyatt Hotel, the Radisson SAS Hotel, and the Days Inn started at around 20:50 local time (18:50 UTC) at the Grand Hyatt. The three hotels are often frequented by foreign diplomats. The bomb at the Radisson SAS exploded in the Philadelphia Ballroom, where a wedding hosting hundreds of guests was taking place.;;;;;;;;;;X
EVT_42002_NAME;U.S. attack on Iran;;;;;;;;;;X
EVT_42002_DESC;The nuclear Iran crisis has reached the worst possible conclusion. This morning, aircraft from U.S. carriers in the Persian Gulf and from airfields in Iraq began air strikes on military targets aross Iran. Iranian parliament has declared a state of war and the Iranian military began a full-scale mobilization.;;;;;;;;;;X
EVT_42003_NAME;Islamist demonstrations against the US;;;;;;;;;;X
EVT_42003_DESC;The U.S. attack on Iran has not been accepted well amongst our society. Today in Amman, large protests were held against the 'evil US imperialism'. The crowd called for the King to abdicate, and for the establishment of an islamist state in Jordan. Protesters clashed with the police and the conflict resulted in several dosen arrested.;;;;;;;;;;X
EVT_42004_NAME;Fundamentalist revolution in Jordan;;;;;;;;;;X
EVT_42004_DESC;What has been feared by some has happened today: an islamist coup d'etat in Jordan! King Abdullah and Queen Rania were killed in a bomb blast while driving through the streets of Amman. A well-organized group of islamist militants, led by the political organization Islamic Action Front and supported by some rogue military elements, have stormed the government buildings and the King's palace, effectively taking power into their hands. Jordan is now in fundamentalist hands...;;;;;;;;;;X
EVT_42005_NAME;Fundamentalist revolution in Jordan;;;;;;;;;;X
EVT_42005_DESC;What has been feared by some has happened today: an islamist coup d'etat in Jordan! King Abdullah and Queen Rania were killed in a bomb blast while driving through the streets of Amman. A well-organized group of islamist militants, led by the political organization Islamic Action Front and supported by some rogue military elements, have stormed the government buildings and the Presidential palace, effectively taking power into their hands. Jordan is now in fundamentalist hands...;;;;;;;;;;X
EVT_42006_NAME;Fundamentalist revolution in Jordan;;;;;;;;;;X
EVT_42006_DESC;What has been feared by some has happened today: an islamist coup d'etat in Jordan! King Abdullah and Queen Rania were killed in a bomb blast while driving through the streets of Amman. A well-organized group of islamist militants, led by the political organization Islamic Action Front and supported by some rogue military elements, have stormed the government buildings and the Presidential palace, effectively taking power into their hands. Jordan is now in fundamentalist hands...;;;;;;;;;;X
EVT_42007_NAME;Fundamentalist revolution in Jordan;;;;;;;;;;X
EVT_42007_DESC;What has been feared by some has happened today: an islamist coup d'etat in Jordan! King Abdullah and Queen Rania were killed in a bomb blast while driving through the streets of Amman. A well-organized group of islamist militants, led by the political organization Islamic Action Front and supported by some rogue military elements, have stormed the government buildings and the Presidential palace, effectively taking power into their hands. Jordan is now in fundamentalist hands...;;;;;;;;;;X
EVT_42008_NAME;Fundamentalist revolution in Jordan;;;;;;;;;;X
EVT_42008_DESC;What has been feared by some has happened today: an islamist coup d'etat in Jordan! King Abdullah and Queen Rania were killed in a bomb blast while driving through the streets of Amman. A well-organized group of islamist militants, led by the political organization Islamic Action Front and supported by some rogue military elements, have stormed the government buildings and the Presidential palace, effectively taking power into their hands. Jordan is now in fundamentalist hands...;;;;;;;;;;X
EVT_42009_NAME;Fundamentalist revolution in Jordan;;;;;;;;;;X
EVT_42009_DESC;What has been feared by some has happened today: an islamist coup d'etat in Jordan! King Abdullah and Queen Rania were killed in a bomb blast while driving through the streets of Amman. A well-organized group of islamist militants, led by the political organization Islamic Action Front and supported by some rogue military elements, have stormed the government buildings and the Presidential palace, effectively taking power into their hands. Jordan is now in fundamentalist hands...;;;;;;;;;;X
EVT_42010_NAME;Fundamentalist revolution in Jordan;;;;;;;;;;X
EVT_42010_DESC;What has been feared by some has happened today: an islamist coup d'etat in Jordan! King Abdullah and Queen Rania were killed in a bomb blast while driving through the streets of Amman. A well-organized group of islamist militants, led by the political organization Islamic Action Front and supported by some rogue military elements, have stormed the government buildings and the Presidential palace, effectively taking power into their hands. Jordan is now in fundamentalist hands...;;;;;;;;;;X
EVT_42301_NAME;Ali Abu al-Ragheb resigns;;;;;;;;;;X
EVT_42301_DESC;Jordanian Prime Minister Ali Abu al-Ragheb resigned on October 25, 2003. He was replaced by Faisal al-Fayez.;;;;;;;;;;X
EVT_42302_NAME;Faisal al-Fayez resigns;;;;;;;;;;X
EVT_42302_DESC;Jordanian Prime Minister Faisal al-Fayez resigned on April 6, 2005. He was replaced by Adnan Badran.;;;;;;;;;;X
EVT_42303_NAME;Adnan Badran resigns;;;;;;;;;;X
EVT_42303_DESC;Jordanian Prime Minister Adnan Badran resigned on April 6, 2005. He was replaced by Marouf al-Bakhit.;;;;;;;;;;X
EVT_42451_NAME;Jordanian parliamentary election 2007;;;;;;;;;;X
EVT_42451_DESC;Parliamentary elections were held in Jordan on November 20, 2007 to elect representatives to the Chamber of Deputies of Jordan, which has 110 seats spread over 45 regional electoral districts, 3 closed tribal electoral districts and one national woman quota district.  Following the election, prime minister Marouf al-Bakhit and his cabinet resigned, as it normally followed in the Jordanian political system. King Abdullah II appointed Nader al-Dahabi as the next prime minister to lead a new technocrat government.;;;;;;;;;;X
EVT_23951_NAME;Egyptian presidential election 2005;;;;;;;;;;X
EVT_23951_DESC;The Egyptian presidential election of 2005, held on September 7,2005, was the first allegedly contested presidential election in Egypt's history. Hosni Mubarak, the incumbent President of Egypt, won a fifth consecutive six-year term in office, with official results showing he won 88.6%% of the votes cast.;;;;;;;;;;X
EVT_23952_NAME;Egyptian presidential referendum 2005;;;;;;;;;;X
EVT_23952_DESC;The Egyptian presidential referendum of 2005 was held on September 7, 2005. Hosni Mubarak, the incumbent President of Egypt who was nominated to the post by the People's Assembly, won a fifth consecutive six-year term in office, with official results showing that 88.6%% of the voters voted 'yes'.;;;;;;;;;;X
EVT_23801_NAME;Atef Ebeid resigns;;;;;;;;;;X
EVT_23801_DESC;Atef Ebeid, the Egyptian Prime Minister, resigned on July 9, 2004 amid increasing pressure from part of the business community demanding more rapid privatization and less state regulation. Prime Minister Ahmed Nazif replaced him.;;;;;;;;;;X
EVT_37451_NAME;Indian general election 2004;;;;;;;;;;X
EVT_37451_DESC;Legislative elections are held today in India. Which party wins?;;;;;;;;;;X
EVT_37452_NAME;Indian presidential election 2007;;;;;;;;;;X
EVT_37452_DESC;Presidential elections are held today in India. Which candidate wins?;;;;;;;;;;X
EVT_4501_NAME;Rakhat Aliyev demoted;;;;;;;;;;X
EVT_4501_DESC;Rakhat Aliyev, son-in-law of Kazakh President Nursultan Nazarbayev and first Vice Foreign Minister, is demoted to ambassador to Austria for the second time amid accusations he stole money from Nurbank bank and alleged involvement in the kidnapping and murdering of two Nurbank officials.;;;;;;;;;;X
EVT_4502_NAME;Rakhat Aliyev demoted;;;;;;;;;;X
EVT_4502_DESC;Rakhat Aliyev, son-in-law of Kazakh President Nursultan Nazarbayev and first Vice Foreign Minister, is demoted to ambassador to Austria for the second time amid accusations he stole money from Nurbank bank and alleged involvement in the kidnapping and murdering of two Nurbank officials.;;;;;;;;;;X
EVT_4951_NAME;2006 Austrian legislative election;;;;;;;;;;X
EVT_4951_DESC;Legislative elections are held today in Austria. Which party wins?;;;;;;;;;;X
EVT_4952_NAME;2008 Austrian legislative election;;;;;;;;;;X
EVT_4952_DESC;Legislative elections are held today in Austria. Which party wins?;;;;;;;;;;X
EVT_4953_NAME;2004 Austrian presidential election;;;;;;;;;;X
EVT_4953_DESC;Presidential elections are held today in Austria. Which party wins?;;;;;;;;;;X
EVT_68501_NAME;Ukrainian Civil War begins;;;;;;;;;;X
EVT_68501_DESC;Ukraine has been sinking deeper and deeper into crisis for several months due to unresolved presidential election crisis. The climax has been reached today when eastern, Russian-dominated parts of Ukraine proclaimed independence under the name of Republic of Novorossiya. The new self-proclaimed country comprises of Kharkiv, Lugansk and Donetsk provinces and the vautonomous region of Crimea. Parts of the Ukrainian army stationed in the east of the country began to switch sides, and there are rumors of Russian covert aid to the rebels.;;;;;;;;;;X
EVT_68502_NAME;Situation in Transnistria;;;;;;;;;;X
